libelle_region,Classe_DPE,Nombre_logements
Auvergne-Rhône-Alpes,A,42.0
Auvergne-Rhône-Alpes,B,141.0
Auvergne-Rhône-Alpes,C,3783.0
Auvergne-Rhône-Alpes,D,6131.0
Auvergne-Rhône-Alpes,E,3521.0
Auvergne-Rhône-Alpes,F,1391.0
Auvergne-Rhône-Alpes,G,802.0
Bourgogne-Franche-Comté,A,41.0
Bourgogne-Franche-Comté,B,65.0
Bourgogne-Franche-Comté,C,1107.0
Bourgogne-Franche-Comté,D,2047.0
Bourgogne-Franche-Comté,E,1267.0
Bourgogne-Franche-Comté,F,518.0
Bourgogne-Franche-Comté,G,250.0
Bretagne,A,32.0
Bretagne,B,44.0
Bretagne,C,1191.0
Bretagne,D,1522.0
Bretagne,E,1006.0
Bretagne,F,316.0
Bretagne,G,221.0
Centre-Val de Loire,A,33.0
Centre-Val de Loire,B,125.0
Centre-Val de Loire,C,1332.0
Centre-Val de Loire,D,2950.0
Centre-Val de Loire,E,1596.0
Centre-Val de Loire,F,410.0
Centre-Val de Loire,G,224.0
Corse,B,6.0
Corse,C,37.0
Corse,D,8.0
Corse,E,8.0
Corse,F,6.0
Corse,G,3.0
Grand Est,A,37.0
Grand Est,B,66.0
Grand Est,C,2474.0
Grand Est,D,3943.0
Grand Est,E,2537.0
Grand Est,F,1197.0
Grand Est,G,458.0
Hauts-de-France,A,8.0
Hauts-de-France,B,43.0
Hauts-de-France,C,1660.0
Hauts-de-France,D,3350.0
Hauts-de-France,E,2139.0
Hauts-de-France,F,594.0
Hauts-de-France,G,588.0
Normandie,A,59.0
Normandie,B,101.0
Normandie,C,1002.0
Normandie,D,1983.0
Normandie,E,1183.0
Normandie,F,456.0
Normandie,G,329.0
Nouvelle-Aquitaine,A,127.0
Nouvelle-Aquitaine,B,174.0
Nouvelle-Aquitaine,C,1840.0
Nouvelle-Aquitaine,D,2688.0
Nouvelle-Aquitaine,E,1785.0
Nouvelle-Aquitaine,F,534.0
Nouvelle-Aquitaine,G,276.0
Occitanie,A,146.0
Occitanie,B,200.0
Occitanie,C,1879.0
Occitanie,D,2100.0
Occitanie,E,1017.0
Occitanie,F,426.0
Occitanie,G,197.0
Pays de la Loire,A,104.0
Pays de la Loire,B,78.0
Pays de la Loire,C,802.0
Pays de la Loire,D,1613.0
Pays de la Loire,E,1317.0
Pays de la Loire,F,315.0
Pays de la Loire,G,173.0
Provence-Alpes-Côte d'Azur,A,204.0
Provence-Alpes-Côte d'Azur,B,614.0
Provence-Alpes-Côte d'Azur,C,4398.0
Provence-Alpes-Côte d'Azur,D,3530.0
Provence-Alpes-Côte d'Azur,E,1451.0
Provence-Alpes-Côte d'Azur,F,412.0
Provence-Alpes-Côte d'Azur,G,214.0
Île-de-France,A,22.0
Île-de-France,B,529.0
Île-de-France,C,11296.0
Île-de-France,D,21761.0
Île-de-France,E,25874.0
Île-de-France,F,11613.0
Île-de-France,G,3436.0
